,user,t,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284
0,t,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.22158506,0.230780653,0.146027241,0,0,0.113501995,0.124258093,0.108152908,0,0,0.212094534,0,0.212432781,0,0.244371284,0,0.186600684,0.092515874,0,0.243486668,0.119358188,0,0.173930228,0,0,0.105030139,0,0,0.093998337,0.103652273,0,0,0,0.121740827,0.215654887,0,0.22670552,0.228842094,0.139833327,0,0.133965511,0.312350689,0,0.133031303,0.120228848,0.096192229,0.100463787,0.114038151,0,0,0.219483795,0.228917497,0.228483584,0,0.349953452,0,0.236672224,0,0,0,0,0.10150053,0.088438137,0,0,0.088664562,0.201049824,0,0,0.108353327,0.092425599,0,0,0,0.238330232,0,0.105061751,0,0.183316376,0.129014195,0.339474263,0.098715504,0.102791785,0.088682292,0,0.101445837,0.195173382,0,0.073829818,0.127525507,0.128615798,0.122717222,0.095982972,0.205812887,0,0,0.203866258,0,0.123989797,0,0,0,0,0,0.125439334,0.233363456,0.10925706,0,0,0.299872756,0.10362503,0.096138796,0.106816948,0.109699805,0.230466823,0.23152587,0,0.101597986,0.192159139,0,0.098059637,0,0,0.101754445,0,0,0,0.12943282,0,0,0,0,0,0.11315341,0,0.105054672,0.180189351,0.211694189,0,0.089978048,0,0.25042814,0,0.089724577,0.144927188,0.0982466,0.088618023,0.148075881,0,0.117031077,0.224714544,0,0,0.106411396,0.120686358,0.204911863,0,0.144891789,0.082328612,0,0.230843955,0,0,0.237492711,0,0.10652203,0,0.126673197,0.136651765,0.101348053,0.09057829,0.105161379,0.129018464,0.330951236,0.098194934,0.095591952,0.126058964,0.086482942,0.091306239,0.113210236,0,0,0.133867288,0.244775754,0.114631304,0.132280633,0,0.199856844,0.211624518,0,0.209421467,0.115300057,0,0,0,0,0,0.142335965,0.154994291,0,0.118252149,0,0,0,0.244298524,0,0.235947929,0,0.091675168,0,0,0,0,0.221937196,0.135266251,0,0.213501834,0.199841403,0,0.207121942,0,0,0.201664476,0.176927774,0,0.100390201,0.095495363,0.233385568,0.098283735,0.091491559,0.300358165,0.237324663,0.109869314,0.118363067,0.104621872,0,0.303610007,0,0.228286605,0.093325286,0,0.102914908,0,0,0.220238396,0.094360571,0,0.216195868,0,0.134713144,0.091436959,0,0.104703974,0.208321903,0,0.231358822,0.088927801,0,0,0.214657243,0.114913611,0,0.245524296,0.147225178,0.102500555,0,0,0,0,0.125603855,0.110706684,0.191943427,0.103344428,0.210221195,0,0.136809846,0.095495767,0,0.097189109,0,0.101720784,0.097019091,0.091125503,0,0.132678079
2,2,0,0,0,0,0,0,0,0,0,0,0,0.140443026,0,0,0,0,0,0,0,0,0,0.127843285,0,0,0,0,0.124436619,0,0,0.118459026,0,0,0,0,0,0,0,0,0,0.096370723,0.12560354,0.105181208,0,0,0.120228848,0,0.100463787,0,0,0.107698767,0,0.140445284,0,0.117150856,0,0,0,0.115056786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112914332,0,0,0,0.114745791,0,0,0.256058591,0,0,0.088107244,0,0,0,0,0,0,0.127525507,0,0,0,0,0,0,0,0.10635078,0,0,0,0,0,0,0.103961036,0.123241603,0,0,0,0,0,0.128986589,0,0,0,0,0,0,0.185067396,0.111774339,0,0,0,0,0,0,0.103230693,0.106508106,0,0,0.111068469,0,0,0,0,0,0.102992905,0,0,0,0,0,0,0,0.100694974,0,0.096205525,0,0,0,0,0,0,0.119800977,0,0,0,0,0,0,0,0,0,0,0,0.115175988,0,0.127205069,0,0,0,0,0,0,0,0.095591952,0,0,0,0.088172207,0,0,0,0,0.12444607,0,0.094132657,0,0,0,0,0,0,0,0,0.100968872,0,0,0.094854965,0,0,0.125342427,0.145213813,0.102872114,0,0,0.107393983,0,0,0.10834587,0.103071571,0,0,0.126201116,0,0,0.115386319,0,0,0,0,0,0,0,0,0,0.099741654,0,0,0.097985868,0,0,0,0.112922649,0,0,0,0,0,0,0,0,0,0,0.115183346,0,0,0,0,0,0.091436959,0.116187918,0,0.124686522,0.122499202,0.12482441,0,0,0,0,0,0,0,0.147225178,0,0,0,0.158956597,0.113039252,0.116915618,0,0,0.128220353,0.125146449,0,0.090799607,0,0,0,0,0,0.098344706,0,0,0
3,3,0.220619817,0.087922881,0.146027241,0.122469063,0.0938808,0.11657129,0,0,0,0,0.275738839,0,0.108515872,0.123824549,0.099297246,0.100676296,0,0.211441835,0,0,0.102948793,0,0,0,0.092036945,0.208591253,0,0.095898192,0,0,0,0,0.099141301,0,0.105208729,0,0.249256842,0.132218631,0,0,0,0.107945565,0,0,0.102835789,0.096192229,0,0,0,0,0.236937385,0.088472213,0.11711231,0,0,0,0.259150108,0,0,0,0,0,0,0.086363162,0,0.126609223,0.202022003,0,0.218112198,0,0,0,0.207755174,0,0.238330232,0.09611704,0.203846708,0,0.197073296,0,0.226699081,0.138172922,0,0,0.23934547,0,0.095559662,0,0,0.098169181,0.10092075,0,0,0.079905763,0.100580841,0,0.08913172,0.119194439,0.123989797,0.139538655,0,0.170600361,0.125084816,0.103459017,0.204566206,0.090435215,0,0,0,0.112740528,0,0,0.106816948,0,0,0.099855056,0.12337115,0.310883117,0.188355951,0,0.098059637,0,0,0,0.083903935,0,0,0.12943282,0,0.214503459,0,0.114006934,0,0,0,0.198092989,0.178388944,0.095027657,0.193225369,0.103321146,0,0,0,0.306499562,0,0,0,0,0.250330553,0,0.376356334,0,0,0,0,0.193522644,0,0.249171605,0.117437394,0.095544799,0,0,0.206366033,0,0,0.10652203,0,0.096795877,0.116725346,0,0.243683545,0.105161379,0,0,0,0,0.221741927,0.17456041,0.285733087,0,0,0,0,0.103838578,0,0,0,0.304993769,0,0.095742375,0.096374818,0.325252544,0.12056141,0,0.12008224,0,0,0.245639812,0.117500868,0,0.104521121,0,0,0.103702154,0.140324146,0.105288553,0.122368437,0,0,0,0.223859455,0,0,0.217320617,0.246465639,0,0,0.098612482,0,0.320128347,0,0,0.201664476,0.176927774,0,0.100390201,0.095495363,0.126852044,0,0.095369411,0.355157469,0.338427012,0,0.118363067,0,0,0,0,0.125556251,0,0,0,0,0,0.220238396,0.131674251,0.108329722,0.409999593,0,0.096243719,0,0.116669694,0,0.113767434,0,0.108036397,0.09618206,0,0,0.11487888,0,0,0.263993281,0.104615995,0,0,0,0,0.100193281,0,0.089518259,0.236962786,0,0.122443183,0,0,0.144309116,0,0.192579777,0,0,0.097019091,0.091125503,0,0.241009277
4,4,0.108260396,0.142857772,0,0,0.126199596,0,0,0,0,0,0.275738839,0,0,0,0.098979673,0,0,0,0.102658923,0,0.119358188,0,0,0,0,0.105030139,0.096905245,0,0,0,0,0,0.099141301,0,0,0,0.249256842,0,0,0,0.133965511,0,0.227686983,0,0,0,0,0,0.197516257,0,0.236937385,0,0,0,0,0.099507188,0,0,0,0,0,0.10150053,0.188209811,0.086363162,0.14493928,0.126609223,0,0,0,0.108353327,0,0,0.122925555,0,0.092100712,0,0,0.134506526,0,0,0,0.103695845,0.102791785,0.088682292,0.119672735,0.101445837,0,0,0.078362334,0,0,0,0,0,0,0,0,0,0,0.139538655,0.087823793,0,0,0,0,0.31531691,0,0,0,0.099917278,0,0,0,0,0,0,0,0.142933597,0,0,0,0,0,0,0,0.08831213,0,0,0,0.127717892,0,0,0,0,0,0,0,0.090986696,0,0.103321146,0,0.08711971,0,0.195888128,0,0,0.088618023,0,0.131051718,0.200205685,0.242754534,0,0,0.340582533,0,0,0,0.118653145,0,0,0.238691469,0,0,0,0,0,0.215349999,0.228953565,0.12146204,0,0.243683545,0,0,0,0.217302995,0,0,0,0.091306239,0,0,0,0,0,0.220239366,0,0,0.208803331,0,0,0.11304665,0,0,0,0.12008224,0,0,0,0,0,0,0,0,0,0.140324146,0,0.113579493,0,0,0,0.121668137,0,0,0,0,0,0,0,0.114540422,0.226568676,0,0,0,0.090191503,0,0,0,0,0,0,0,0,0.205762811,0,0.113568501,0,0.104855711,0,0,0.085761607,0,0,0,0.106185712,0,0,0.217941496,0.216195868,0,0.096243719,0,0.09575872,0,0.105281726,0,0.218169027,0.086195382,0,0,0,0.22252733,0,0.263993281,0,0,0,0,0.087852041,0,0,0.211414994,0,0.103344428,0.099906253,0,0,0,0,0,0,0.224400666,0,0,0,0
5,5,0,0,0,0,0,0,0,0,0,0,0.369957243,0.221797786,0,0,0,0.083880132,0,0,0,0,0,0,0.1001173,0.121787777,0,0.105030139,0,0.091313344,0,0,0,0,0,0,0,0,0.357775822,0,0.098417139,0,0,0.099644497,0,0,0,0.234522842,0,0.114038151,0,0.136211842,0.374447902,0,0,0.131884338,0.081828798,0,0,0.120891781,0,0,0,0,0,0,0,0,0,0,0.120261084,0,0,0.088194184,0,0,0.092100712,0,0,0,0,0,0.112775182,0,0,0.255101217,0.221962728,0,0,0,0,0,0.241464188,0,0,0,0,0.1068572,0,0.113341731,0,0,0,0,0.094990741,0,0,0,0,0,0.095440728,0.08721495,0,0,0,0,0,0.131670814,0,0,0,0.127229773,0.145583615,0.089880254,0.111392206,0,0.09228962,0.143059982,0,0,0,0,0,0,0,0,0,0.087257264,0,0,0.089705233,0,0,0,0,0.332002702,0,0.11398436,0,0,0.245749189,0,0.242754534,0.139680135,0,0,0.10240577,0,0.106101635,0.209929797,0,0,0.354791264,0,0,0.342147799,0,0.119183437,0.314753353,0,0,0.104784552,0.243683545,0,0,0,0,0,0.098141749,0,0,0,0,0,0,0,0,0.104026516,0,0.35483484,0.097632529,0.107386338,0,0,0.077267497,0,0,0,0,0,0,0,0,0.141106123,0,0,0.239666031,0,0,0,0,0,0,0,0,0.10327253,0,0.09287477,0,0,0,0,0,0,0,0,0.112384873,0,0,0.099487313,0,0,0,0.102368004,0,0.107863103,0,0.108630539,0.198754295,0,0.102730354,0.150836439,0,0,0.102067854,0,0,0,0,0.091324175,0,0,0,0,0,0,0,0,0,0,0,0.099778363,0,0,0.398915126,0,0,0,0,0,0,0,0,0.105479869,0,0,0,0.136809846,0.151611311,0,0,0.174315872,0,0.117422914,0,0,0
6,6,0,0.174212433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123973643,0.139046688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109025204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107318433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.096529024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09998644,0,0,0,0,0
7,7,0,0,0,0,0,0,0,0,0.124526163,0.144619473,0,0.086838074,0.097772829,0,0,0,0,0.135062986,0.205317847,0.256964631,0,0.104480122,0,0,0,0,0.124436619,0,0,0.118459026,0,0,0,0.121380113,0,0,0.106983066,0.108526723,0.109140455,0.095480854,0.12560354,0,0.098777801,0.09998334,0,0,0,0.102785496,0.098696328,0.118385417,0,0,0.108712912,0.208016635,0,0,0,0.122257833,0,0,0,0.110158255,0,0,0,0,0,0.10216031,0,0,0,0,0.112914332,0,0,0.178311209,0,0.134892485,0.246501779,0,0,0,0,0,0.109245761,0.094689158,0,0,0.070203813,0,0,0.177621981,0.121248366,0.091539494,0.34432778,0,0,0,0,0.094625724,0.097881931,0.11116425,0.133393141,0,0,0.123241603,0.112922643,0.129228641,0.089469658,0,0,0,0,0,0,0,0,0,0,0,0,0.092329053,0,0.118713518,0.141289048,0,0.1344665,0.106508106,0,0,0.111068469,0,0,0,0,0.106503771,0.095606163,0,0.101776272,0,0,0,0.09908693,0,0.196393658,0,0.199066516,0.095563452,0,0.155246491,0,0.113630218,0,0.119800977,0.090007126,0.219082371,0.108992387,0,0,0.136984574,0,0,0,0,0,0,0,0.127205069,0,0,0.111812269,0.112955979,0,0.114890473,0.143339803,0,0,0,0,0,0,0,0,0.121330283,0.12444607,0,0.094132657,0,0,0.126444692,0,0,0,0.21582443,0.199815709,0.202132015,0.107645936,0.111370434,0,0,0,0.192563736,0,0,0,0.102580383,0.205212725,0,0,0,0.103071571,0.13066178,0.108779602,0,0.116378357,0,0.115386319,0,0.114540422,0,0.105898956,0.105540288,0.088788761,0.162023668,0,0,0,0,0.141891148,0,0,0,0,0,0.098436112,0.207426895,0,0,0,0.158467498,0.111797736,0,0,0,0,0.11291166,0,0.095911201,0,0,0.094310022,0.116187918,0.251649475,0.124686522,0.122499202,0.12482441,0,0,0,0,0,0,0,0.221425739,0,0,0,0.158956597,0.113039252,0.116915618,0,0.142682227,0.128220353,0.125146449,0,0,0,0.122887935,0,0.091708326,0,0.106137667,0.104016637,0.164365626,0
8,8,0,0.088643995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108583778,0,0,0,0,0.102224783,0,0,0.099141301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126609223,0,0,0,0,0,0.106294338,0.115095164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117583146,0,0,0,0,0,0,0,0,0,0,0,0.139538655,0,0,0,0.123217697,0,0,0,0,0.090396829,0.088965257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.203252146,0,0,0,0,0,0,0,0,0.191433715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.087789632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.099579826,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12008224,0.114553309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104747291,0,0,0,0,0,0,0.096243719,0,0,0,0,0,0,0,0,0.106962684,0,0,0,0,0,0,0,0,0,0,0,0,0.104925447,0,0,0,0,0,0.098784173,0,0,0,0,0,0,0
9,9,0,0.142857772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.090579603,0,0,0,0,0,0,0.133024881,0,0,0,0,0,0,0,0,0.135238327,0,0,0.132441711,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160758069,0,0,0,0,0,0.117146774,0,0.132941076,0,0,0,0,0,0,0,0.094785008,0,0,0,0,0,0,0,0,0,0,0,0.10268305,0,0,0,0.102791785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.099917278,0,0,0,0,0,0.095985084,0,0.102629464,0,0,0,0,0,0,0,0,0.123769253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.088346,0,0,0,0,0.13344973,0,0.098826005,0,0,0,0,0.102450704,0,0.108613396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106934268,0,0,0.11304665,0.10999818,0,0,0,0,0,0,0,0,0.103470631,0,0.118800145,0,0.112581439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.129144489,0,0,0,0,0,0,0,0,0,0,0.128510844,0,0,0,0,0,0.104855711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
